timestamp,price,MA_50,MA_200,RSI_14
2025-09-30 00:00:00,4215.61278947927,,,
2025-10-01 00:00:00,4144.230463371581,,,
2025-10-02 00:00:00,4343.951983440489,,,
2025-10-03 00:00:00,4484.006245909478,,,
2025-10-04 00:00:00,4515.759068159723,,,
2025-10-05 00:00:00,4487.706651673285,,,
2025-10-06 00:00:00,4515.321391965295,,,
2025-10-07 00:00:00,4689.131734746596,,,
2025-10-08 00:00:00,4454.32846286666,,,
2025-10-09 00:00:00,4527.578004547945,,,
2025-10-10 00:00:00,4368.649439385323,,,
2025-10-11 00:00:00,3835.632842050135,,,
2025-10-12 00:00:00,3749.218185954949,,,
2025-10-13 00:00:00,4159.729307791921,,,48.71195390668033
2025-10-14 00:00:00,4246.217461554773,,,50.678355073299464
2025-10-15 00:00:00,4128.888447033946,,,49.66673104906438
2025-10-16 00:00:00,3983.1544356894233,,,41.974284951790416
2025-10-17 00:00:00,3890.1993012479857,,,36.50843748097933
2025-10-18 00:00:00,3831.244175835675,,,34.637408434893544
2025-10-19 00:00:00,3889.4990302043157,,,36.75397770243804
2025-10-20 00:00:00,3985.0765644046796,,,38.60192472536924
2025-10-21 00:00:00,3978.7901551344357,,,33.54551155635653
2025-10-22 00:00:00,3877.4871979550117,,,35.757031664337845
2025-10-23 00:00:00,3801.7907952382916,,,32.100988511614446
2025-10-24 00:00:00,3855.8421162401205,,,36.663516941524634
2025-10-25 00:00:00,3933.232269901015,,,53.32661772522206
2025-10-26 00:00:00,3952.213557935584,,,57.252355001488425
2025-10-27 00:00:00,4161.590896249249,,,50.07767106118706
2025-10-28 00:00:00,4123.206220671679,,,44.65296948942866
2025-10-29 00:00:00,3982.3127893175442,,4137.053399531879,43.756577634488345
2025-10-30 00:00:00,3897.359267616961,,4126.444948803136,46.14597790219194
2025-10-31 00:00:00,3802.2953645331804,,4115.047112175189,46.05871651085908
2025-11-01 00:00:00,3847.298177365196,,4098.491985306013,50.72892115327236
2025-11-02 00:00:00,3872.2118961957594,,4078.0988403155557,49.19058286614276
2025-11-03 00:00:00,3910.0947691627284,,4057.9100303489886,46.28869432294808
2025-11-04 00:00:00,3600.71550248779,,4028.343658709472,35.60564096306007
2025-11-05 00:00:00,3296.7437604313104,,3987.7244043250057,30.84546553922266
2025-11-06 00:00:00,3427.6905913706814,,3945.6763662124754,38.09502609967933
2025-11-07 00:00:00,3308.918164921951,,3907.4960229476515,33.283841412891235
2025-11-08 00:00:00,3434.3512285299594,,3871.0551304137193,35.18723835460807
2025-11-09 00:00:00,3401.4594003397083,,3838.815462445532,33.78100236129953
2025-11-10 00:00:00,3576.2547046627064,,3830.169524532618,32.404216615981454
2025-11-11 00:00:00,3564.6105957999334,,3824.015938194117,32.933690113673194
2025-11-12 00:00:00,3416.781328259322,,3799.2510055430307,32.79470297248915
2025-11-13 00:00:00,3409.6144555411624,,3771.36423867591,34.42400602757134
2025-11-14 00:00:00,3235.7276362968546,,3741.59221165134,32.774037892320095
2025-11-15 00:00:00,3106.601287865052,,3712.373773390528,28.57573908523773
2025-11-16 00:00:00,3170.1129807404664,,3688.370896040278,30.135705017931414
2025-11-17 00:00:00,3101.686799467,,3664.0523168279883,27.516515331672196
2025-11-18 00:00:00,3021.3021576301335,3870.2686411034847,3635.1124210755156,31.533079460329787
2025-11-19 00:00:00,3117.2225871583155,3848.300837057066,3606.1839551673033,43.40352582824138
2025-11-20 00:00:00,3017.7483614097955,3825.77119501783,3574.1492287098154,34.58009569953542
2025-11-21 00:00:00,2832.068358334293,3795.533522515706,3539.3019340557917,32.9229414144758
2025-11-22 00:00:00,2764.735218675169,3761.1481019710195,3504.7334148370205,24.978305401577714
2025-11-23 00:00:00,2768.6178294996353,3726.2052771978183,3468.4926052790042,25.828427454056722
2025-11-24 00:00:00,2799.8149340924633,3692.4474428462017,3430.712027418719,16.689655814868374
2025-11-25 00:00:00,2953.327645752226,3661.20756792194,3397.415830345941,26.620975883247368
2025-11-26 00:00:00,2955.046469321271,3626.5258626134337,3357.1976827816748,30.118572676609787
2025-11-27 00:00:00,3027.477249132549,3597.988838338751,3320.6733837303705,34.421454528851655
2025-11-28 00:00:00,3015.6118196920934,3567.7495146416345,3288.450018076189,39.66072167262761
2025-11-28 03:08:36,3010.5589660255623,3540.5877051744396,3258.890008023142,44.8934879280677
